feature,importance
Average_Salary,0.001238901263927105
Years_Experience,0.0011800746583053331
AI_Exposure_Index,0.0012176192494043646
Tech_Growth_Factor,0.001328353043367131
Automation_Probability_2030,0.5447201985419545
Skill_1,0.0010765487090794968
Skill_2,0.0011506209257016987
Skill_3,0.0017198426697858636
Skill_4,0.001228653743305897
Skill_5,0.0012080611610585578
Skill_6,0.001205354428938616
Skill_7,0.0016406475193837806
Skill_8,0.0015795292357430627
Skill_9,0.0015676150944367517
Skill_10,0.0014100586791042221
Job_Title_Chef,0.0033284293590822214
Job_Title_Construction Worker,0.05330498018411872
Job_Title_Customer Support,0.037624758826892486
Job_Title_Data Scientist,0.007924080235372647
Job_Title_Doctor,0.03039959988683129
Job_Title_Financial Analyst,0.005536880063587617
Job_Title_Graphic Designer,0.006640524792840336
Job_Title_HR Specialist,0.004676291119742743
Job_Title_Lawyer,0.002167738346878737
Job_Title_Marketing Manager,0.0037115372047136215
Job_Title_Mechanic,0.0034207563816065632
Job_Title_Nurse,0.03562431386913623
Job_Title_Research Scientist,0.03860255681255339
Job_Title_Retail Worker,0.04441674254109233
Job_Title_Security Guard,0.04889132751549314
Job_Title_Software Engineer,0.006425298109035152
Job_Title_Teacher,0.04896667398825311
Job_Title_Truck Driver,0.04669893703498581
Job_Title_UX Researcher,0.0077426763783846435
Education_Level_High School,0.00010523181100662231
Education_Level_Master's,0.00018002242402525274
Education_Level_PhD,0.00013856419087067268
